ITEM_MAT_LIQUID_001,Clean Water,6750209
ITEM_MAT_LIQUID_002,Goat's Milk,6750210
ITEM_MAT_LIQUID_003,Plant Essence,6750211
ITEM_MAT_LIQUID_004,Roteswasser Tonic,6750212
ITEM_MAT_LIQUID_007,Foamy Water,6750213
ITEM_MAT_LIQUID_005,Jade Water,6750214
ITEM_MAT_LIQUID_006,Ether Aqua,6750215
ITEM_MAT_PLANT_001,Nameless Grass,6750216
ITEM_MAT_PLANT_002,Fodder,6750217
ITEM_MAT_PLANT_008,Lucky Clover,6750218
ITEM_MAT_PLANT_009,Blue Clover,6750219
ITEM_MAT_PLANT_003,Poison Grass,6750220
ITEM_MAT_PLANT_004,Wasser Wheat,6750221
ITEM_MAT_PLANT_010,Maple Leaf,6750222
ITEM_MAT_PLANT_005,Sweet Leaf,6750223
ITEM_MAT_PLANT_006,Rosen Leaf,6750224
ITEM_MAT_PLANT_007,Ancient Branch,6750225
ITEM_MAT_UNI_001,Uni,6750226
ITEM_MAT_UNI_002,Silver Uni,6750227
ITEM_MAT_UNI_003,Gold Uni,6750228
ITEM_MAT_FLOWER_001,Health Flower,6750229
ITEM_MAT_FLOWER_002,Northern Wind Flower,6750230
ITEM_MAT_FLOWER_003,Sunny Honey Flower,6750231
ITEM_MAT_FLOWER_010,Blessed Pure Flower,6750232
ITEM_MAT_FLOWER_011,Memorial Mist Flower,6750233
ITEM_MAT_FLOWER_012,Serene Moon Flower,6750234
ITEM_MAT_FLOWER_004,Nightglow Flower,6750235
ITEM_MAT_FLOWER_005,Lantern Grass,6750236
ITEM_MAT_FLOWER_006,Bubble Grass,6750237
ITEM_MAT_FLOWER_013,Serenity Flower,6750238
ITEM_MAT_FLOWER_007,Spring Princess,6750239
ITEM_MAT_FLOWER_008,Esplante,6750240
ITEM_MAT_FLOWER_009,Delphi Rose,6750241
ITEM_MAT_MEDICAL_001,Taun,6750242
ITEM_MAT_MEDICAL_002,Tall Taun,6750243
ITEM_MAT_MEDICAL_007,Mutant Taun,6750244
ITEM_MAT_MEDICAL_008,Triplet Taun,6750245
ITEM_MAT_MEDICAL_009,Crimson Grass,6750246
ITEM_MAT_MEDICAL_010,Bitter Root,6750247
ITEM_MAT_MEDICAL_003,Sapling Branch,6750248
ITEM_MAT_MEDICAL_004,Medicine Moss,6750249
ITEM_MAT_MEDICAL_005,Fertile Soil,6750250
ITEM_MAT_MEDICAL_006,Medium Medicine,6750251
ITEM_MAT_POISON_001,Kumine Fruit,6750252
ITEM_MAT_POISON_002,Kumine Poison,6750253
ITEM_MAT_POISON_003,Rotten Tree Bark,6750254
ITEM_MAT_POISON_004,Resentful Scream,6750255
ITEM_MAT_POISON_005,Mushroom Powder,6750256
ITEM_MAT_POISON_006,Death's Grief,6750257
ITEM_MAT_ELIXIL_001,Forest Sage,6750258
ITEM_MAT_ELIXIL_002,Dunkelheit,6750259
ITEM_MAT_SAND_001,Soft Sand,6750260
ITEM_MAT_SAND_002,Burning Sand,6750261
ITEM_MAT_SAND_003,Ashen Sand,6750262
ITEM_MAT_SAND_004,Polluted Humus,6750263
ITEM_MAT_SAND_005,Emerald Glass,6750264
ITEM_MAT_STONE_001,Sandstone,6750265
ITEM_MAT_STONE_002,Nectar Rock,6750266
ITEM_MAT_STONE_003,Eroded Stone,6750267
ITEM_MAT_STONE_009,Ancient Pillar,6750268
ITEM_MAT_STONE_010,Coral Stone,6750269
ITEM_MAT_STONE_011,Cave Coral,6750270
ITEM_MAT_STONE_004,Riverstone,6750271
ITEM_MAT_STONE_005,Blue Flame Riverstone,6750272
ITEM_MAT_STONE_006,Waterside Moss Stone,6750273
ITEM_MAT_STONE_007,Stalactite Fragment,6750274
ITEM_MAT_STONE_008,Ethereal Stone,6750275
ITEM_MAT_ORE_001,Crimson Ore,6750276
ITEM_MAT_ORE_002,Aqua Ore,6750277
ITEM_MAT_ORE_003,Lightning Ore,6750278
ITEM_MAT_ORE_004,Amatite Ore,6750279
